"filename", "language", "C++", "CMake", "CMake Cache", "Ninja", "log", "JSON", "XML", "C", "comment", "blank", "total"
"e:\5.paper\code\xzxpir\include\fmt\format-inl.h", "C++", -1462, 0, 0, 0, 0, 0, 0, 0, -114, -127, -1703
"e:\5.paper\code\xzxpir\include\fmt\format.h", "C++", -3648, 0, 0, 0, 0, 0, 0, 0, -564, -439, -4651
"e:\5.paper\code\xzxpir\include\fmt\os.h", "C++", -246, 0, 0, 0, 0, 0, 0, 0, -140, -85, -471
"e:\5.paper\code\xzxpir\include\fmt\ostream.h", "C++", -151, 0, 0, 0, 0, 0, 0, 0, -30, -29, -210
"e:\5.paper\code\xzxpir\include\fmt\printf.h", "C++", -505, 0, 0, 0, 0, 0, 0, 0, -96, -79, -680
"e:\5.paper\code\xzxpir\include\fmt\ranges.h", "C++", -564, 0, 0, 0, 0, 0, 0, 0, -55, -114, -733
"e:\5.paper\code\xzxpir\include\fmt\std.h", "C++", -282, 0, 0, 0, 0, 0, 0, 0, -19, -43, -344
"e:\5.paper\code\xzxpir\include\fmt\xchar.h", "C++", -211, 0, 0, 0, 0, 0, 0, 0, -12, -37, -260
"e:\5.paper\code\xzxpir\simple\database.cpp", "C++", 100, 0, 0, 0, 0, 0, 0, 0, 3, 9, 112
"e:\5.paper\code\xzxpir\simple\database.hpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\5.paper\code\xzxpir\simple\matrix.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 3, 1, 28
"e:\5.paper\code\xzxpir\simple\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\5.paper\code\xzxpir\simple\utils.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\5.paper\code\xzxpir\test\guass_sample_test.cpp", "C++", -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"e:\5.paper\code\xzxpir\test\pir_basic_test.cpp", "C++", -13, 0, 0, 0, 0, 0, 0, 0, 0, -3, -16
"Total", "-", -12936, -522, -421, -465, -375, -2615, -96, -642, -1831, -2514, -22417
